Lead_Origin,Lead Source,Converted,Total_Visits,Total_Time_Website,Page_Views_Per_Visit,Last_Activity,Current_Occupation,Lead_Quality,Activity_Index,Profile_Index,Free_Copy
Landing Page Submission,Direct Traffic,1,2,940,2,SMS Sent,Unemployed,4,2,3,Yes
Landing Page Submission,Google,0,5,9,5,SMS Sent,Unemployed,4,2,3,No
API,Google,1,5,1323,2.5,SMS Sent,Working Professional,4,2,2,No
API,Google,0,6,326,3,Email Opened,Unemployed,3,2,2,Yes
API,Google,0,4,45,4,Email Opened,Unemployed,1,2,2,No
Landing Page Submission,Google,1,6,1975,6,Others,Unemployed,2,2,3,No
Landing Page Submission,Google,0,4,1064,4,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,1,6,1681,6,Email Opened,Unemployed,4,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,2,1545,2,Email Opened,Working Professional,2,2,3,Yes
API,Google,0,5,71,5,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,1,211,1,Others,Unemployed,3,2,3,Yes
API,Google,0,2,942,2,SMS Sent,Unemployed,1,1,3,No
Landing Page Submission,Google,1,4,894,4,SMS Sent,Working Professional,4,2,2,No
API,Google,1,2,1132,1,Email Opened,Working Professional,4,2,2,No
Landing Page Submission,Direct Traffic,1,3,941,3,Email Opened,Unemployed,3,2,3,Yes
API,Organic Search,1,8,234,4,SMS Sent,Working Professional,4,2,2,No
Landing Page Submission,Direct Traffic,1,5,1275,2.5,Email Opened,Unemployed,4,2,2,Yes
API,Google,0,2,1322,2,Email Opened,Unemployed,3,2,2,No
API,Google,1,3,1210,3,Email Opened,Working Professional,4,2,2,No
Landing Page Submission,Organic Search,0,5,211,5,Email Opened,Unemployed,4,2,3,Yes
API,Google,0,1,147,1,Others,Unemployed,3,2,2,No
Landing Page Submission,Google,0,7,67,7,Email Opened,Working Professional,2,2,3,Yes
Landing Page Submission,Google,1,6,938,6,Email Opened,Unemployed,5,2,3,Yes
API,Olark Chat,0,0,0,0,Others,Unemployed,3,2,2,No
API,Olark Chat,1,1,832,1,Email Opened,Working Professional,4,2,3,Yes
Landing Page Submission,Google,0,3,352,3,Email Opened,Unemployed,3,1,3,No
Landing Page Submission,Google,0,4,125,4,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,2,51,2,Email Opened,Unemployed,3,3,2,Yes
Landing Page Submission,Direct Traffic,1,1,993,1,Others,Working Professional,4,2,3,Yes
Landing Page Submission,Direct Traffic,0,2,883,2,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,1,5,1513,5,Email Opened,Working Professional,2,2,3,Yes
Landing Page Submission,Direct Traffic,0,3,30,1.5,Email Opened,Unemployed,3,2,3,Yes
API,Google,0,5,353,5,Email Opened,Unemployed,3,2,1,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,1,1,2,No
API,Google,0,2,279,2,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,3,37,3,Email Opened,Unemployed,3,2,2,Yes
API,Organic Search,0,9,413,4.5,Email Opened,Unemployed,3,2,1,Yes
API,Olark Chat,1,6,983,2,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,0,3,40,3,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,5,1489,5,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,0,3,250,3,SMS Sent,Unemployed,1,2,3,Yes
Landing Page Submission,Google,0,6,101,6,Page Visited on Website,Unemployed,4,2,3,No
API,Google,1,16,1059,3.2,Page Visited on Website,Unemployed,4,1,2,No
Landing Page Submission,Google,0,5,312,2.5,Email Opened,Unemployed,2,2,3,Yes
Landing Page Submission,Google,1,3,784,3,Others,Working Professional,4,2,3,No
API,Google,1,2,969,1,Email Opened,Unemployed,2,2,3,No
API,Google,1,4,1184,2,Email Opened,Unemployed,5,2,3,No
API,Google,1,4,995,1.33,Email Opened,Unemployed,2,2,3,No
API,Google,0,3,42,1.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,4,1596,4,SMS Sent,Unemployed,4,2,2,No
API,Google,0,3,7,3,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,11,374,11,Email Opened,Other,4,3,2,Yes
Landing Page Submission,Google,1,4,688,2,Email Opened,Working Professional,2,2,3,No
Landing Page Submission,Google,0,12,348,3,Others,Unemployed,1,2,3,No
Landing Page Submission,Direct Traffic,1,2,118,2,SMS Sent,Unemployed,4,1,3,Yes
Landing Page Submission,Direct Traffic,1,3,1024,1.5,Email Opened,Unemployed,5,1,3,Yes
API,Google,0,3,1344,3,Email Opened,Unemployed,3,2,1,No
API,Google,0,2,127,2,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Google,0,3,783,3,Email Opened,Working Professional,4,1,3,No
API,Google,0,4,152,4,Others,Unemployed,3,1,2,No
Landing Page Submission,Google,1,4,847,4,Email Opened,Working Professional,5,2,3,No
Landing Page Submission,Google,1,4,1017,4,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,1,4,1337,4,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,8,367,2.67,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,0,6,90,3,Olark Chat Conversation,Unemployed,3,2,2,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,1,2,2,No
Landing Page Submission,Google,1,5,777,5,Page Visited on Website,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,5,2,2,No
Landing Page Submission,Direct Traffic,1,3,31,3,Email Opened,Working Professional,4,2,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,1,2,2,No
Landing Page Submission,Google,1,4,62,4,Others,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,1,2,931,2,Email Opened,Unemployed,2,2,3,Yes
API,Google,1,4,1272,4,SMS Sent,Working Professional,4,2,2,No
API,Google,0,5,324,2.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,1381,4,Email Opened,Unemployed,3,2,3,Yes
API,Google,0,2,535,1,Olark Chat Conversation,Unemployed,3,2,2,No
API,Others,1,2,942,2,Olark Chat Conversation,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,0,6,326,6,Email Opened,Unemployed,3,2,2,Yes
API,Google,1,2,1429,2,SMS Sent,Working Professional,4,2,2,No
Landing Page Submission,Google,1,4,1205,2,Email Opened,Unemployed,5,2,3,No
API,Google,0,2,96,2,Others,Unemployed,3,1,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,1,2,No
Landing Page Submission,Organic Search,0,6,5,3,Email Opened,Unemployed,3,2,3,No
API,Google,1,4,1245,2,SMS Sent,Unemployed,3,2,2,No
API,Google,1,2,1101,1,SMS Sent,Working Professional,4,2,2,No
Lead Add Form,Reference,1,2,826,1,Others,Working Professional,4,2,3,Yes
API,Olark Chat,1,3,430,1.5,Email Opened,Unemployed,4,2,2,Yes
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,4,2,3,No
API,Organic Search,1,2,345,2,Others,Unemployed,5,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,1,14,1241,3.5,Email Opened,Working Professional,4,3,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,5,2,3,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,4,2,3,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,4,2,3,No
API,Google,0,6,1178,3,Email Opened,Unemployed,3,1,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,4,2,3,No
Landing Page Submission,Google,0,4,222,1.33,Others,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,6,251,6,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Google,0,7,84,1.75,Email Opened,Unemployed,3,2,2,Yes
API,Google,0,2,1615,2,Email Opened,Unemployed,3,2,2,No
API,Google,0,2,416,1,SMS Sent,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
API,Organic Search,1,3,926,3,SMS Sent,Unemployed,3,2,2,No
API,Google,0,2,360,2,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,1,2,850,2,Email Opened,Unemployed,3,2,2,No
API,Google,1,2,1069,2,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,2,326,2,Email Opened,Other,2,2,3,Yes
Landing Page Submission,Google,0,2,1458,1,Others,Unemployed,3,1,3,Yes
Landing Page Submission,Direct Traffic,1,3,1389,3,Others,Working Professional,2,2,3,Yes
Landing Page Submission,Organic Search,1,4,1171,4,Email Opened,Working Professional,2,2,3,No
Landing Page Submission,Google,0,2,253,2,Others,Unemployed,3,1,3,No
API,Google,1,2,1059,2,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Google,0,5,266,5,SMS Sent,Unemployed,4,1,3,No
Landing Page Submission,Direct Traffic,0,2,428,2,Email Opened,Unemployed,4,1,3,Yes
Landing Page Submission,Google,0,3,1708,3,Email Opened,Unemployed,3,2,3,No
API,Google,0,4,4,4,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,1075,4,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,13,1018,6.5,SMS Sent,Working Professional,3,3,3,Yes
API,Google,0,5,108,5,Email Opened,Unemployed,3,2,2,No
API,Google,0,3,202,3,Page Visited on Website,Unemployed,1,3,2,No
Landing Page Submission,Organic Search,0,3,560,3,SMS Sent,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,7,1302,3.5,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,0,4,416,4,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,5,300,5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,3,1459,3,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Google,0,4,255,4,Page Visited on Website,Unemployed,3,2,3,No
Lead Add Form,Others,1,1,1046,1,Page Visited on Website,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
API,Olark Chat,0,8,180,2.67,Olark Chat Conversation,Unemployed,3,1,2,No
API,Google,1,13,1667,4.33,SMS Sent,Unemployed,4,3,2,No
Lead Add Form,Others,0,0,0,0,SMS Sent,Unemployed,3,1,2,No
API,Google,1,2,1576,2,SMS Sent,Unemployed,3,3,2,No
Landing Page Submission,Google,0,5,651,5,Others,Unemployed,4,1,3,No
API,Google,0,2,234,2,Others,Unemployed,3,1,2,No
Landing Page Submission,Google,0,5,129,5,SMS Sent,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,3,1499,3,SMS Sent,Working Professional,4,2,2,No
Landing Page Submission,Google,0,6,71,6,Email Opened,Unemployed,3,2,2,No
API,Google,0,2,53,2,SMS Sent,Unemployed,3,1,2,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,SMS Sent,Unemployed,3,2,2,No
API,Google,1,3,489,3,Email Opened,Working Professional,2,2,3,No
Landing Page Submission,Google,1,5,1013,5,Email Opened,Unemployed,2,2,3,No
API,Direct Traffic,0,2,702,2,Olark Chat Conversation,Unemployed,3,2,2,No
Lead Import,Others,0,0,0,0,SMS Sent,Unemployed,3,2,1,No
Lead Import,Others,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Lead Import,Others,0,0,0,0,SMS Sent,Unemployed,3,1,1,No
Lead Import,Others,1,0,0,0,Email Opened,Unemployed,5,2,2,No
Lead Import,Others,1,0,0,0,Email Opened,Unemployed,5,2,2,No
Lead Import,Others,0,0,0,0,Email Opened,Unemployed,3,2,1,No
Lead Import,Others,0,8,76,8,Email Opened,Unemployed,3,2,2,No
Lead Import,Others,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Lead Import,Others,1,0,0,0,Email Opened,Working Professional,4,2,2,No
Lead Import,Others,1,0,0,0,Email Opened,Unemployed,4,2,2,No
Lead Import,Others,1,0,0,0,SMS Sent,Unemployed,4,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Google,1,2,925,2,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Others,1,2,1184,2,Email Opened,Unemployed,2,2,2,No
API,Olark Chat,1,4,263,1.33,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,3,949,3,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,3,812,3,SMS Sent,Unemployed,4,2,3,Yes
API,Google,1,3,1213,1.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,0,4,239,4,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Google,1,3,1622,3,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,1,2,2,No
Landing Page Submission,Direct Traffic,0,7,268,7,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,5,282,1.67,SMS Sent,Unemployed,3,1,3,No
Landing Page Submission,Direct Traffic,0,2,367,2,Others,Unemployed,3,1,3,No
API,Google,0,14,174,2.8,Page Visited on Website,Unemployed,4,2,2,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,2,316,2,Email Opened,Unemployed,3,2,3,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,3,2,No
API,Google,1,4,1167,1.33,Email Opened,Unemployed,5,2,3,No
API,Google,0,7,1320,1.75,Email Opened,Unemployed,3,2,2,No
API,Google,0,2,157,2,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,0,6,950,6,Others,Unemployed,1,2,3,Yes
Landing Page Submission,Google,1,8,2137,8,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,1,10,1131,5,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,0,6,5,6,Page Visited on Website,Unemployed,3,2,2,Yes
API,Google,1,4,932,2,Email Opened,Unemployed,4,2,1,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Others,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Google,0,5,240,5,Email Opened,Unemployed,3,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,3,155,3,Page Visited on Website,Unemployed,1,2,2,Yes
API,Google,0,2,11,2,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,2,59,2,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,1,3,1250,3,SMS Sent,Working Professional,3,2,2,Yes
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,1,3,803,3,Others,Unemployed,3,2,3,Yes
API,Google,0,14,148,14,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,5,1024,5,Email Opened,Unemployed,2,2,3,No
API,Google,0,4,46,2,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,1590,4,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,0,6,361,6,Email Opened,Unemployed,3,2,3,No
API,Google,1,4,262,4,SMS Sent,Unemployed,2,2,2,No
Landing Page Submission,Organic Search,0,5,314,5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Organic Search,0,3,276,3,SMS Sent,Unemployed,3,2,2,Yes
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
API,Google,1,2,1734,2,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Google,0,6,152,6,Email Opened,Unemployed,3,1,3,No
API,Google,1,4,1295,4,SMS Sent,Unemployed,5,2,2,No
API,Google,1,2,1290,2,SMS Sent,Unemployed,4,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,1,2,No
Landing Page Submission,Organic Search,0,4,436,4,Email Opened,Unemployed,3,1,2,Yes
API,Google,1,3,736,3,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Direct Traffic,1,5,1459,5,Email Opened,Unemployed,2,2,3,Yes
Landing Page Submission,Direct Traffic,1,2,811,2,Email Opened,Working Professional,4,2,3,Yes
Landing Page Submission,Organic Search,1,7,1460,7,Email Opened,Unemployed,4,2,2,Yes
Landing Page Submission,Organic Search,0,8,241,8,SMS Sent,Unemployed,1,2,3,Yes
Landing Page Submission,Organic Search,1,4,562,4,SMS Sent,Unemployed,4,2,2,Yes
Landing Page Submission,Direct Traffic,1,7,1126,7,Email Opened,Working Professional,3,2,3,Yes
Landing Page Submission,Google,1,1,1716,1,Others,Working Professional,2,2,3,No
Landing Page Submission,Organic Search,1,3,534,1.5,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,9,1442,4.5,SMS Sent,Unemployed,4,2,3,Yes
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,1,2,No
API,Olark Chat,1,3,166,1.5,Email Opened,Working Professional,2,2,2,No
Landing Page Submission,Direct Traffic,1,2,1948,2,SMS Sent,Unemployed,4,2,2,Yes
Landing Page Submission,Direct Traffic,0,22,601,1.38,Page Visited on Website,Unemployed,3,2,2,Yes
API,Google,1,5,786,5,Olark Chat Conversation,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,Email Opened,Other,2,2,1,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
API,Google,1,2,1528,2,SMS Sent,Unemployed,5,2,2,No
Landing Page Submission,Direct Traffic,1,2,1232,2,SMS Sent,Working Professional,4,2,3,Yes
Landing Page Submission,Google,0,2,1188,1,Others,Other,1,2,3,No
Landing Page Submission,Google,0,6,1049,6,SMS Sent,Unemployed,4,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
API,Google,1,4,1219,1,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Others,1,0,0,0,Email Opened,Unemployed,5,2,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,3,2,No
API,Google,1,2,594,1,SMS Sent,Unemployed,2,2,2,No
API,Google,0,3,271,3,Olark Chat Conversation,Unemployed,3,2,2,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,1,5,1211,2.5,Email Opened,Unemployed,5,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,1506,4,SMS Sent,Unemployed,3,2,3,No
API,Google,1,3,1021,3,Email Opened,Unemployed,5,2,2,No
API,Google,0,2,342,2,SMS Sent,Unemployed,1,2,2,No
API,Google,1,2,681,1,SMS Sent,Unemployed,3,3,2,No
Landing Page Submission,Organic Search,1,3,1264,3,Others,Working Professional,2,2,2,Yes
Landing Page Submission,Direct Traffic,1,6,99,6,Email Opened,Unemployed,3,3,3,Yes
Lead Add Form,Others,1,3,555,1.5,Email Opened,Unemployed,3,2,3,No
API,Google,0,3,505,1.5,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,1,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,3,2,No
API,Google,0,4,1732,4,Others,Unemployed,3,1,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,0,4,32,4,Others,Unemployed,1,2,3,No
Landing Page Submission,Google,1,11,1714,5.5,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Google,0,4,700,4,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Google,0,8,699,8,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,4,360,4,Page Visited on Website,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,6,76,3,Email Opened,Working Professional,2,2,3,No
Lead Add Form,Reference,1,2,1349,1,Olark Chat Conversation,Unemployed,4,3,3,Yes
Landing Page Submission,Google,1,6,1116,3,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Google,1,3,370,1.5,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,1,8,1190,2,Page Visited on Website,Unemployed,5,2,3,Yes
Landing Page Submission,Google,1,10,1026,10,SMS Sent,Unemployed,4,2,3,Yes
API,Google,1,8,167,4,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Google,0,3,759,3,Others,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,1,210,1,Others,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,3,845,3,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Google,1,5,1,5,SMS Sent,Working Professional,4,2,3,No
Landing Page Submission,Google,0,2,51,2,Email Opened,Unemployed,3,2,3,No
API,Google,1,2,1387,2,SMS Sent,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,30,68,10,SMS Sent,Unemployed,3,2,3,Yes
Landing Page Submission,Organic Search,0,5,29,5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,2,296,2,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,0,6,555,6,SMS Sent,Unemployed,3,2,2,Yes
Landing Page Submission,Organic Search,0,8,275,4,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,4,1033,4,Email Opened,Unemployed,2,2,3,No
API,Olark Chat,0,3,226,1.5,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,1,16,1522,2.67,Others,Unemployed,5,2,3,Yes
Landing Page Submission,Organic Search,0,3,161,3,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,5,37,2.5,Others,Unemployed,3,1,3,No
Landing Page Submission,Direct Traffic,0,3,529,3,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,6,213,6,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,6,125,2,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Others,Unemployed,1,2,2,No
Landing Page Submission,Direct Traffic,1,2,1328,2,SMS Sent,Unemployed,4,2,2,Yes
Landing Page Submission,Google,0,3,284,3,Others,Unemployed,3,2,3,No
API,Organic Search,0,2,84,2,Page Visited on Website,Unemployed,3,1,2,No
API,Google,1,3,481,3,Email Opened,Unemployed,5,2,3,No
API,Google,0,9,195,2.25,Others,Unemployed,3,2,2,No
Landing Page Submission,Google,1,10,825,5,SMS Sent,Unemployed,4,3,3,No
Landing Page Submission,Google,0,3,203,3,Email Opened,Unemployed,3,2,3,No
API,Google,0,3,107,3,Email Opened,Unemployed,3,2,2,No
API,Google,0,1,238,1,Others,Unemployed,1,3,2,No
API,Google,0,2,335,2,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,5,1383,5,SMS Sent,Working Professional,4,2,2,Yes
Landing Page Submission,Google,1,3,761,3,Email Opened,Unemployed,2,2,2,No
API,Direct Traffic,0,2,303,2,Olark Chat Conversation,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,0,4,260,4,Others,Unemployed,3,1,3,No
Lead Add Form,Others,1,0,0,0,Others,Unemployed,3,2,2,No
API,Google,0,2,738,2,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Google,0,6,212,6,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,3,60,3,Email Opened,Unemployed,1,2,3,Yes
API,Google,1,9,898,4.5,Others,Unemployed,3,2,2,No
Lead Add Form,Others,1,15,1108,3,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,4,355,4,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,1,7,842,3.5,SMS Sent,Unemployed,5,2,3,No
API,Google,0,2,133,2,Olark Chat Conversation,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,1,2,No
Landing Page Submission,Google,0,2,186,2,SMS Sent,Unemployed,4,2,3,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,3,2,No
Landing Page Submission,Google,1,11,1039,5.5,Email Opened,Unemployed,3,3,3,Yes
API,Google,1,3,831,3,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,612,4,SMS Sent,Unemployed,3,2,3,No
API,Google,1,3,170,1.5,SMS Sent,Unemployed,3,2,2,No
API,Direct Traffic,1,6,1040,6,SMS Sent,Unemployed,4,2,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Working Professional,4,2,2,No
Landing Page Submission,Direct Traffic,1,3,1061,3,Email Opened,Unemployed,5,2,2,Yes
Landing Page Submission,Google,1,3,1987,3,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,6,307,6,Email Opened,Unemployed,3,2,3,No
API,Organic Search,0,6,138,3,Page Visited on Website,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,2,1208,2,Email Opened,Unemployed,2,2,3,No
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,0,9,171,9,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,4,441,4,Olark Chat Conversation,Unemployed,3,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Google,1,6,1830,3,SMS Sent,Unemployed,4,2,3,No
API,Google,1,2,1227,1,Email Opened,Unemployed,3,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,1,2,2,No
API,Google,0,2,94,2,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,4,51,4,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,5,914,2.5,SMS Sent,Unemployed,5,2,3,No
API,Google,0,2,1410,1,Email Opened,Other,3,3,2,No
API,Olark Chat,1,0,0,0,SMS Sent,Unemployed,3,3,2,No
API,Google,0,3,38,1.5,Email Opened,Unemployed,3,2,2,No
